date,goods_no,sell_num
2026-09-25,195614571,84
2026-09-25,195775257,1878
2026-09-25,195776621,1569
2026-09-25,195811384,1074
2026-09-25,195827616,1080
2026-09-25,195827803,1542
2026-09-25,195828801,1443
2026-09-25,195832463,3018
2026-09-25,195853109,948
2026-09-25,195856718,585
2026-09-25,195959641,6216
2026-09-25,196013239,1635
2026-09-25,196016066,330
2026-09-25,196019732,1056
2026-09-25,196020146,5136
2026-09-25,196106713,1074
2026-09-25,196106714,4608
2026-09-25,196113383,1422
2026-09-25,196118220,3648
2026-09-25,196123705,648
2026-09-25,196209093,1194
2026-09-25,196263351,3660
2026-09-25,196266161,666
2026-09-25,196285732,180
2026-09-25,196319354,468
2026-09-25,196345627,1602
2026-09-25,196353226,432
2026-09-25,196359755,1725
2026-09-25,196487132,42
2026-09-25,196504323,102
2026-09-25,196512169,1086
2026-09-25,196521682,1962
2026-09-25,196551222,9489
2026-09-25,196557581,840
2026-09-25,196557823,240
2026-09-25,196560014,84
2026-09-25,196628574,1326
2026-09-25,196634675,102
2026-09-25,196670694,636
2026-09-25,196679322,780
2026-09-25,196681594,180
2026-09-25,196696319,300
2026-09-25,196726844,120
2026-09-25,196783010,1320
2026-09-25,196789645,60
2026-09-25,196815992,180
2026-09-25,196815993,60
2026-09-25,196825790,420
2026-09-25,196826852,420
2026-09-25,196903954,60
2026-09-25,196903957,60
2026-09-26,112343709,1458
2026-09-26,112347078,1380
2026-09-26,116860343,10989
2026-09-26,125137664,1272
2026-09-26,125648104,168
2026-09-26,129043457,246
2026-09-26,129602186,2424
2026-09-26,129602748,1782
2026-09-26,132766309,492
2026-09-26,139563085,762
2026-09-26,139604589,378
2026-09-26,139734696,2370
2026-09-26,141311308,48
2026-09-26,141312058,186
2026-09-26,142558644,90
2026-09-26,142637189,246
2026-09-26,144043886,1212
2026-09-26,145099755,1350
2026-09-26,145338919,552
2026-09-26,145575183,72
2026-09-26,145656189,72
2026-09-26,145995000,12
2026-09-26,146262491,144
2026-09-26,146741944,48
2026-09-26,147127904,612
2026-09-26,147341992,576
2026-09-26,147572534,216
2026-09-26,147852321,306
2026-09-26,148079920,36
2026-09-26,148080194,2829
2026-09-26,148369512,336
2026-09-26,148386650,474
2026-09-26,149195623,1992
2026-09-26,149385474,120
2026-09-26,149414736,10014
2026-09-26,149607439,696
2026-09-26,150009333,2277
2026-09-26,150547033,336
2026-09-26,151359723,426
2026-09-26,151852205,522
2026-09-26,152079426,16740
2026-09-26,152110612,414
2026-09-26,152111138,1062
2026-09-26,152119137,3198
2026-09-26,152363144,714
2026-09-26,152449732,474
2026-09-26,152498115,294
2026-09-26,152647602,918
2026-09-26,152649327,1428
2026-09-26,152814420,2637
2026-09-26,153603522,2208
2026-09-26,153717914,96
2026-09-26,154238820,414
2026-09-26,154254878,4086
2026-09-26,157776421,1392
2026-09-26,158727530,2400
2026-09-26,159039383,882
